Nom de la commune,Populationtotal,Population_string
Prémeyzel,252,252
Prémillieu,45,45
Prévessin-Moëns,8431,8431
Priay,1763,1763
Ramasse,330,330
Rancé,744,744
Relevant,468,468
Replonges,3796,3796
Revonnas,934,934
Reyrieux,4929,4929
Reyssouze,993,993
Rignieux-le-Franc,988,988
Romans,594,594
Rossillon,157,157
Ruffieu,191,191
Saint-Alban,182,182
Saint-André-d'Huiriat,635,635
Saint-André-de-Bâgé,773,773
Saint-André-de-Corcy,3408,3408
Saint-André-le-Bouchoux,396,396
Saint-André-sur-Vieux-Jonc,1176,1176
Saint-Bénigne,1292,1292
Saint-Bernard,1475,1475
Saint-Cyr-sur-Menthon,1816,1816
Saint-Denis-en-Bugey,2336,2336
Saint-Denis-lès-Bourg,5908,5908
Saint-Didier-d'Aussiat,884,884
Saint-Didier-de-Formans,2029,2029
Saint-Didier-sur-Chalaronne,2938,2938
Saint-Éloi,461,461
Saint-Étienne-du-Bois,2485,2485
Saint-Étienne-sur-Chalaronne,1582,1582
Saint-Étienne-sur-Reyssouze,577,577
Saint-Genis-Pouilly,12725,12725
Saint-Genis-sur-Menthon,479,479
Saint-Georges-sur-Renon,219,219
Saint-Germain-de-Joux,506,506
Saint-Germain-les-Paroisses,437,437
Saint-Germain-sur-Renon,240,240
Saint-Jean-de-Gonville,1831,1831
Saint-Jean-de-Niost,1519,1519
Saint-Jean-de-Thurigneux,784,784
Saint-Jean-le-Vieux,1802,1802
Saint-Jean-sur-Reyssouze,751,751
Saint-Jean-sur-Veyle,1169,1169
Saint-Julien-sur-Reyssouze,753,753
Saint-Julien-sur-Veyle,832,832
Saint-Just,950,950
Saint-Laurent-sur-Saône,1749,1749
Saint-Marcel,1304,1304
Saint-Martin-de-Bavel,443,443
Saint-Martin-du-Frêne,1085,1085
Saint-Martin-du-Mont,1871,1871
Saint-Martin-le-Châtel,807,807
Saint-Maurice-de-Beynost,4006,4006
Saint-Maurice-de-Gourdans,2625,2625
Saint-Maurice-de-Rémens,765,765
Saint-Nizier-le-Bouchoux,692,692
Saint-Nizier-le-Désert,935,935
Saint-Paul-de-Varax,1549,1549
Saint-Rambert-en-Bugey,2302,2302
Saint-Rémy,1017,1017
Saint-Sorlin-en-Bugey,1219,1219
Saint-Sulpice,261,261
Saint-Trivier-de-Courtes,1102,1102
Saint-Trivier-sur-Moignans,1840,1840
Saint-Vulbas,1306,1306
Sainte-Croix,578,578
Sainte-Euphémie,1695,1695
Sainte-Julie,1034,1034
Sainte-Olive,285,285
Salavre,281,281
Samognat,680,680
Sandrans,535,535
Sault-Brénaz,966,966
Sauverny,1030,1030
Savigneux,1367,1367
Ségny,2112,2112
Seillonnaz,140,140
Sergy,2124,2124
Sermoyer,688,688
Serrières-de-Briord,1282,1282
Serrières-sur-Ain,136,136
Servas,1275,1275
Servignat,176,176
Seyssel,1017,1017
Simandre-sur-Suran,683,683
Sonthonnax-la-Montagne,319,319
Souclin,279,279
Sulignat,598,598
Surjoux-Lhopital,134,134
Talissieu,460,460
Tenay,1047,1047
Thil,1113,1113
Thoiry,6215,6215
Thoissey,1756,1756
Torcieu,742,742
Tossiat,1398,1398
Toussieux,1111,1111
Tramoyes,1724,1724
La Tranclière,293,293
Trévoux,7009,7009
Val-Revermont,2654,2654
Valeins,131,131
Valromey-sur-Séran,1329,1329
Valserhône,16804,16804
Vandeins,700,700
Varambon,598,598
Vaux-en-Bugey,1254,1254
Verjon,297,297
Vernoux,331,331
Versailleux,447,447
Versonnex,2246,2246
Vesancy,495,495
Vescours,246,246
Vésines,103,103
Vieu-d'Izenave,724,724
Villars-les-Dombes,4884,4884
Villebois,1190,1190
Villemotier,678,678
Villeneuve,1537,1537
Villereversure,1339,1339
Villes,384,384
Villette-sur-Ain,767,767
Villieu-Loyes-Mollon,3717,3717
Viriat,6566,6566
Virieu-le-Grand,1106,1106
Virignin,1118,1118
Vongnes,72,72
Vonnas,3019,3019
Abbécourt,506,506
Achery,606,606
Acy,1035,1035
Agnicourt-et-Séchelles,185,185
Aguilcourt,392,392
Aisonville-et-Bernoville,264,264
Aizelles,126,126
Aizy-Jouy,295,295
Alaincourt,549,549
Allemant,181,181
Ambleny,1209,1209
Ambrief,70,70
Amifontaine,413,413
Amigny-Rouy,758,758
Ancienville,75,75
Andelain,237,237
Anguilcourt-le-Sart,319,319
Anizy-le-Grand,2584,2584
Annois,369,369
Any-Martin-Rieux,460,460
Archon,90,90
Arcy-Sainte-Restitue,409,409
Armentières-sur-Ourcq,106,106
Arrancy,53,53
Artemps,373,373
Assis-sur-Serre,230,230
Athies-sous-Laon,2663,2663
Attilly,375,375
Aubencheul-aux-Bois,273,273
Aubenton,663,663
Aubigny-aux-Kaisnes,257,257
Aubigny-en-Laonnois,107,107
Audignicourt,122,122
Audigny,287,287
Augy,83,83
Aulnois-sous-Laon,1453,1453
Les Autels,57,57
Autremencourt,172,172
Autreppes,182,182
Autreville,827,827
Azy-sur-Marne,391,391
Bagneux,70,70
Bancigny,26,26
Barenton-Bugny,563,563
Barenton-Cel,120,120
Barenton-sur-Serre,138,138
Barisis-aux-Bois,752,752
Barzy-en-Thiérache,332,332
Barzy-sur-Marne,390,390
Bassoles-Aulers,145,145
Bazoches-sur-Vesles,464,464
Beaumé,94,94
Beaumont-en-Beine,178,178
Beaurevoir,1443,1443
Beaurieux,854,854
Beautor,2727,2727
Beauvois-en-Vermandois,275,275
Becquigny,257,257
Belleau,140,140
Bellenglise,390,390
Belleu,3861,3861
Bellicourt,614,614
Benay,206,206
Bergues-sur-Sambre,219,219
Berlancourt,108,108
Berlise,113,113
Bernot,464,464
Berny-Rivière,667,667
Berrieux,189,189
Berry-au-Bac,658,658
Bertaucourt-Epourdon,614,614
Berthenicourt,201,201
Bertricourt,165,165
Berzy-le-Sec,394,394
Besmé,162,162
Besmont,152,152
Besny-et-Loizy,360,360
Béthancourt-en-Vaux,448,448
Beugneux,111,111
Beuvardes,764,764
Bézu-le-Guéry,265,265
Bézu-Saint-Germain,1069,1069
Bichancourt,1058,1058
Bieuxy,31,31
Bièvres,91,91
Billy-sur-Aisne,1175,1175
Billy-sur-Ourcq,223,223
Blanzy-lès-Fismes,107,107
Blérancourt,1348,1348
Blesmes,456,456
Bohain-en-Vermandois,5754,5754
Bois-lès-Pargny,204,204
Boncourt,261,261
Bonneil,389,389
Bonnesvalyn,241,241
Bony,138,138
Bosmont-sur-Serre,198,198
Bouconville-Vauclair,193,193
Boué,1339,1339
Bouffignereux,106,106
Bouresches,207,207
Bourg-et-Comin,833,833
Bourguignon-sous-Coucy,107,107
Bourguignon-sous-Montbavin,162,162
La Bouteille,496,496
Braine,2238,2238
Brancourt-en-Laonnois,720,720
Brancourt-le-Grand,578,578
Brasles,1565,1565
Bray-Saint-Christophe,67,67
Braye,123,123
Braye-en-Laonnois,209,209
Braye-en-Thiérache,147,147
Brécy,347,347
Brenelle,199,199
Breny,248,248
Brie,55,55
Brissay-Choigny,309,309
Brissy-Hamégicourt,663,663
Brumetz,216,216
Brunehamel,461,461
Bruyères-et-Montbérault,1568,1568
Bruyères-sur-Fère,194,194
Bruys,19,19
Bucilly,200,200
