Nom de la commune,Populationtotal,Population_string,Premier_chiffre
Neuville-les-Dames,1531,1531,1
Neuville-sur-Ain,1784,1784,1
Les Neyrolles,654,654,6
Neyron,2576,2576,2
Niévroz,1646,1646,1
Nivigne et Suran,825,825,8
Nivollet-Montgriffon,121,121,1
Nurieux-Volognat,1052,1052,1
Oncieu,95,95,9
Ordonnaz,142,142,1
Ornex,4575,4575,4
Outriaz,266,266,2
Oyonnax,22943,22943,2
Ozan,692,692,6
Parcieux,1235,1235,1
Parves et Nattages,980,980,9
Péron,2673,2673,2
Péronnas,6675,6675,6
Pérouges,1228,1228,1
Perrex,845,845,8
Peyriat,161,161,1
Peyrieu,888,888,8
Peyzieux-sur-Saône,674,674,6
Pirajoux,415,415,4
Pizay,834,834,8
Plagne,134,134,1
Le Plantay,573,573,5
Plateau d'Hauteville,5031,5031,5
Le Poizat-Lalleyriat,735,735,7
Polliat,2572,2572,2
Pollieu,165,165,1
Poncin,1738,1738,1
Pont-d'Ain,2993,2993,2
Pont-de-Vaux,2303,2303,2
Pont-de-Veyle,1690,1690,1
Port,869,869,8
Pougny,826,826,8
Pouillat,88,88,8
Prémeyzel,252,252,2
Prémillieu,45,45,4
Prévessin-Moëns,8431,8431,8
Priay,1763,1763,1
Ramasse,330,330,3
Rancé,744,744,7
Relevant,468,468,4
Replonges,3796,3796,3
Revonnas,934,934,9
Reyrieux,4929,4929,4
Reyssouze,993,993,9
Rignieux-le-Franc,988,988,9
Romans,594,594,5
Rossillon,157,157,1
Ruffieu,191,191,1
Saint-Alban,182,182,1
Saint-André-d'Huiriat,635,635,6
Saint-André-de-Bâgé,773,773,7
Saint-André-de-Corcy,3408,3408,3
Saint-André-le-Bouchoux,396,396,3
Saint-André-sur-Vieux-Jonc,1176,1176,1
Saint-Bénigne,1292,1292,1
Saint-Bernard,1475,1475,1
Saint-Cyr-sur-Menthon,1816,1816,1
Saint-Denis-en-Bugey,2336,2336,2
Saint-Denis-lès-Bourg,5908,5908,5
Saint-Didier-d'Aussiat,884,884,8
Saint-Didier-de-Formans,2029,2029,2
Saint-Didier-sur-Chalaronne,2938,2938,2
Saint-Éloi,461,461,4
Saint-Étienne-du-Bois,2485,2485,2
Saint-Étienne-sur-Chalaronne,1582,1582,1
Saint-Étienne-sur-Reyssouze,577,577,5
Saint-Genis-Pouilly,12725,12725,1
Saint-Genis-sur-Menthon,479,479,4
Saint-Georges-sur-Renon,219,219,2
Saint-Germain-de-Joux,506,506,5
Saint-Germain-les-Paroisses,437,437,4
Saint-Germain-sur-Renon,240,240,2
Saint-Jean-de-Gonville,1831,1831,1
Saint-Jean-de-Niost,1519,1519,1
Saint-Jean-de-Thurigneux,784,784,7
Saint-Jean-le-Vieux,1802,1802,1
Saint-Jean-sur-Reyssouze,751,751,7
Saint-Jean-sur-Veyle,1169,1169,1
Saint-Julien-sur-Reyssouze,753,753,7
Saint-Julien-sur-Veyle,832,832,8
Saint-Just,950,950,9
Saint-Laurent-sur-Saône,1749,1749,1
Saint-Marcel,1304,1304,1
Saint-Martin-de-Bavel,443,443,4
Saint-Martin-du-Frêne,1085,1085,1
Saint-Martin-du-Mont,1871,1871,1
Saint-Martin-le-Châtel,807,807,8
Saint-Maurice-de-Beynost,4006,4006,4
Saint-Maurice-de-Gourdans,2625,2625,2
Saint-Maurice-de-Rémens,765,765,7
Saint-Nizier-le-Bouchoux,692,692,6
Saint-Nizier-le-Désert,935,935,9
Saint-Paul-de-Varax,1549,1549,1
Saint-Rambert-en-Bugey,2302,2302,2
Saint-Rémy,1017,1017,1
Saint-Sorlin-en-Bugey,1219,1219,1
Saint-Sulpice,261,261,2
Saint-Trivier-de-Courtes,1102,1102,1
Saint-Trivier-sur-Moignans,1840,1840,1
Saint-Vulbas,1306,1306,1
Sainte-Croix,578,578,5
Sainte-Euphémie,1695,1695,1
Sainte-Julie,1034,1034,1
Sainte-Olive,285,285,2
Salavre,281,281,2
Samognat,680,680,6
Sandrans,535,535,5
Sault-Brénaz,966,966,9
Sauverny,1030,1030,1
Savigneux,1367,1367,1
Ségny,2112,2112,2
Seillonnaz,140,140,1
Sergy,2124,2124,2
Sermoyer,688,688,6
Serrières-de-Briord,1282,1282,1
Serrières-sur-Ain,136,136,1
Servas,1275,1275,1
Servignat,176,176,1
Seyssel,1017,1017,1
Simandre-sur-Suran,683,683,6
